"command","parser_support","handler_present","handler_fn","default_tracked","tests_referencing","risk_hint","test_files"
"eventstats","unknown","true","handleStatsCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"extract","dedicated","false","","true","3","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/extract.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"fieldformat","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"fields","dedicated","true","handleFieldsCommand","true","4","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/test-builder.demo.test.ts"
"fieldsummary","dedicated","true","handleFieldsummaryCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"filldown","dedicated","false","","true","2","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"fillnull","dedicated","false","","true","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"findtypes","generic","true","handleFindtypesCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"folderize","generic","false","","false","0","low",""
"foreach","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"format","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"gauge","generic","false","","false","0","low",""
"gentimes","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"geom","dedicated","true","handleGeomCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"geostats","dedicated","true","handleStatsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"head","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"highlight","generic","false","","false","1","low","c:/Users/dbroo/azdo/coresplorer/e2e/insplector/field-lineage.spec.ts"
"history","generic","false","","false","0","low",""
"iconify","generic","false","","false","0","low",""
"input","unknown","false","","false","0","low",""
"inputcsv","dedicated","true","handleInputcsvCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"inputlookup","dedicated","true","handleLookupCommand","true","1","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"iplocation","dedicated","true","handleIplocationCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"join","dedicated","true","handleJoinCommand","true","4","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/scope-aware.test.ts"
"kmeans","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"kv","unknown","true","handleKvCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"kvform","dedicated","true","handleKvCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"loadjob","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"localize","generic","false","","false","0","low",""
"localop","generic","false","","false","0","low",""
"lookup","dedicated","true","handleLookupCommand","true","3","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"makecontinuous","dedicated","true","handleMakecontinuousCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"makemv","dedicated","true","handleMakemvCommand","true","1","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"makeresults","dedicated","true","handleMakeresultsCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"map","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"mcatalog","dedicated","true","handleMcatalogCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"mcollect","dedicated","true","handlePassThroughPreserving","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"metadata","dedicated","true","handleMetadataCommand","true","1","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"metasearch","generic","false","","false","0","low",""
"meventcollect","dedicated","true","handlePassThroughPreserving","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"mpreview","dedicated","true","handleMpreviewCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"mstats","dedicated","true","handleStatsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"multikv","dedicated","true","handleMultikvCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"multisearch","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"mvcombine","dedicated","false","","true","2","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"mvexpand","dedicated","false","","true","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"nomv","dedicated","true","handleNomvCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"outlier","generic","false","","false","0","low",""
"outputcsv","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"outputlookup","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"outputtext","generic","false","","false","0","low",""
"overlap","generic","false","","false","0","low",""
"pivot","dedicated","true","handleStatsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"predict","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"rangemap","dedicated","false","","true","2","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"rare","dedicated","true","handleRareCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"regex","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"relevancy","unknown","false","","false","0","low",""
"reltime","dedicated","true","handleReltimeCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"rename","dedicated","true","handleRenameCommand","true","5","low","c:/Users/dbroo/azdo/coresplorer/e2e/insplector/field-lineage.spec.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"replace","dedicated","true","handleReplaceCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"rest","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"return","dedicated","true","handleReturnCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"reverse","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"rex","dedicated","true","handleRexCommand","true","4","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/extract.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"rtorder","generic","false","","false","0","low",""
"run","unknown","false","","false","0","low",""
"savedsearch","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"script","generic","false","","false","0","low",""
"scrub","generic","false","","false","0","low",""
"search","dedicated","true","handleSearchExpression","false","0","high",""
"searchtxn","generic","true","handleSearchtxnCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"selfjoin","dedicated","true","handlePassThroughPreserving","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"sendemail","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"set","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"setfields","dedicated","true","handleSetfieldsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"sichart","dedicated","true","handleStatsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"sirare","dedicated","true","handleRareCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"sistats","dedicated","true","handleStatsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"sitimechart","dedicated","true","handleStatsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"sitop","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"sort","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"spath","dedicated","true","handleSpathCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
